ID,location,labware,well_name,volume
water-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,A1,5
pUC19-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,B1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,C1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,D1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,E1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,F1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,G1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,H1,5
water-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,A1,5
pUC19-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,B1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,C1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,D1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,E1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,F1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,G1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,H1,5
water-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,A1,5
pUC19-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,B1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,C1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,D1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,E1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,F1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,G1,5
pJKR-BL21(DE3),thermocycler,armadillo_96_wellplate_200ul_pcr_full_skirt,H1,5
water-BL21(DE3),1,nunc96grid_96_wellplate_10ul,A1,5
pUC19-BL21(DE3),1,nunc96grid_96_wellplate_10ul,B1,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,C1,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,D1,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,E1,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,F1,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,G1,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,H1,5
water-BL21(DE3),1,nunc96grid_96_wellplate_10ul,A2,5
pUC19-BL21(DE3),1,nunc96grid_96_wellplate_10ul,B2,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,C2,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,D2,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,E2,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,F2,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,G2,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,H2,5
water-BL21(DE3),1,nunc96grid_96_wellplate_10ul,A3,5
pUC19-BL21(DE3),1,nunc96grid_96_wellplate_10ul,B3,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,C3,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,D3,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,E3,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,F3,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,G3,5
pJKR-BL21(DE3),1,nunc96grid_96_wellplate_10ul,H3,5
